Time,Time Code,Country Name,Country Code,CO2 emissions (kt) [EN.ATM.CO2E.KT],"Population, total [SP.POP.TOTL]","GDP per capita, PPP (constant 2017 international $) [NY.GDP.PCAP.PP.KD]"
2004,YR2004,Belgium,BEL,114019.996643066,10421137,45540.4669120107
2004,YR2004,Croatia,HRV,21100.0003814697,4304600,22849.6528412662
2004,YR2004,Cyprus,CYP,7780.00020980835,1018684,36499.234375
2004,YR2004,Czechia,CZE,123440.002441406,10197101,28542.2548172745
2004,YR2004,Denmark,DNK,53729.9995422363,5404523,50446.5416048985
2004,YR2004,Estonia,EST,17020.0004577637,1362550,23691.1529865284
2004,YR2004,Finland,FIN,67680.0003051758,5228172,43724.9661225981
2004,YR2004,France,FRA,377790.008544922,62716306,41265.1269211355
2004,YR2004,Germany,DEU,821070.007324219,82516260,43605.2786723109
2004,YR2004,Greece,GRC,99839.9963378906,10955141,34564.9112761871
2004,YR2004,Hungary,HUN,56349.9984741211,10107146,23362.8116037033
2004,YR2004,Iceland,ISL,2319.9999332428,292074,46051.74388765
2004,YR2004,Ireland,IRL,44689.998626709,4070262,55623.8868409015
2004,YR2004,Italy,ITA,472399.993896484,57685327,44118.0366368665
2004,YR2004,Liechtenstein,LIE,230.000004172325,34300,..
2004,YR2004,Lithuania,LTU,11909.9998474121,3377075,19226.4692652314
2004,YR2004,Luxembourg,LUX,11659.9998474121,458095,107634.837198018
2004,YR2004,Netherlands,NLD,172119.995117188,16281779,48586.7046242077
2004,YR2004,Norway,NOR,37340.0001525879,4591910,60699.5665822807
2004,YR2004,Poland,POL,301850.006103516,38182222,18198.100044371
2004,YR2004,Portugal,PRT,62130.0010681152,10483861,30892.8198811263
2004,YR2004,Romania,ROU,95349.9984741211,21451748,16012.1919147676
2004,YR2004,San Marino,SMR,..,29093,80463.8951122995
2004,YR2004,Slovak Republic,SVK,37430.0003051758,5372280,18783.8957986386
2004,YR2004,Slovenia,SVN,15699.9998092651,1997012,30041.8145706637
2004,YR2004,Spain,ESP,335559.997558594,42921895,37228.7982165672
2004,YR2004,Sweden,SWE,53590.0001525879,8993531,44354.3910620977
2004,YR2004,Switzerland,CHE,45279.9987792969,7389625,60768.2045734865
2004,YR2004,United Kingdom,GBR,543080.017089844,59987905,42099.3945384131
2005,YR2005,Andorra,AND,579.999983310699,79826,..
2005,YR2005,Austria,AUT,76239.9978637695,8227829,49387.0278641202
2005,YR2005,Belgium,BEL,110610.000610352,10478617,46342.1866093314
2005,YR2005,Croatia,HRV,21450.0007629395,4310145,23793.0530384974
2005,YR2005,Cyprus,CYP,7900.00009536743,1037062,37723.33203125
2005,YR2005,Czechia,CZE,119989.99786377,10211216,30384.4466487841
2005,YR2005,Denmark,DNK,50200.0007629395,5419432,51483.273786293
2005,YR2005,Estonia,EST,17229.9995422363,1354775,26096.9883386237
2005,YR2005,Finland,FIN,55459.9990844727,5246096,44786.9096643071
2005,YR2005,France,FRA,380660.003662109,63188395,41638.0317796772
2005,YR2005,Germany,DEU,802380.004882813,82469422,43949.2881791796
2005,YR2005,Greece,GRC,101949.996948242,10987314,34670.1850265467
2005,YR2005,Hungary,HUN,55919.9981689453,10087065,24414.5827800472
2005,YR2005,Iceland,ISL,2289.99996185303,296734,48104.6518132004
