Time,Time Code,Country Name,Country Code,"Population, total [SP.POP.TOTL]","GDP per capita, PPP (constant 2017 international $) [NY.GDP.PCAP.PP.KD]",CO2 emissions (kt) [EN.ATM.CO2E.KT]
2000,YR2000,Norway,NOR,4490967,57127.3819959897,34290
2000,YR2000,Poland,POL,38258629,16177.8676699697,295770
2000,YR2000,Portugal,PRT,10289898,30383.1378175177,61660
2000,YR2000,Romania,ROU,22442971,12176.5794995535,89020
2000,YR2000,San Marino,SMR,26823,75881.8484368652,..
2000,YR2000,Slovak Republic,SVK,5388720,15624.5397672777,38070
2000,YR2000,Slovenia,SVN,1988925,26276.9445587635,14540
2000,YR2000,Spain,ESP,40567864,34738.0568248096,293310
2000,YR2000,Sweden,SWE,8872109,40625.3620520538,53280
2000,YR2000,Switzerland,CHE,7184250,59980.3309146065,43710
2000,YR2000,United Kingdom,GBR,58892514,39080.8667573272,530890
2001,YR2001,Andorra,AND,67820,..,520
2001,YR2001,Austria,AUT,8042293,46878.9162398602,67910
2001,YR2001,Belgium,BEL,10286570,43347.8892099274,118340
2001,YR2001,Croatia,HRV,4299642,19672.1961430575,19200
2001,YR2001,Czechia,CZE,10216605,25833.4146699938,122720
2001,YR2001,Denmark,DNK,5358783,49133.2231026505,54250
2001,YR2001,Estonia,EST,1388115,18952.1070075434,15380
2001,YR2001,Finland,FIN,5188008,40842.3417724243,61090
2001,YR2001,France,FRA,61367388,40220.1008603728,376730
2001,YR2001,Germany,DEU,82349925,43576.6365260124,847680
2001,YR2001,Greece,GRC,10862132,30180.2258479604,96610
2001,YR2001,Greenland,GRL,56350,..,..
2001,YR2001,Hungary,HUN,10187576,20249.4476396525,56280
2001,YR2001,Iceland,ISL,284968,42626.9230684437,2160
2001,YR2001,Ireland,IRL,3866243,50266.9576734743,44820
2001,YR2001,Italy,ITA,56974100,43869.4279411713,436570
2001,YR2001,Latvia,LVA,2337170,13990.8438438469,7360
2001,YR2001,Liechtenstein,LIE,33376,..,210
2001,YR2001,Lithuania,LTU,3470818,14872.3790941775,11150
2001,YR2001,Luxembourg,LUX,441525,101143.147977096,9120
2001,YR2001,Monaco,MCO,32444,..,..
2001,YR2001,Netherlands,NLD,16046180,48160.7843668965,167120
2001,YR2001,Norway,NOR,4513751,58018.3114261599,34720
2001,YR2001,Poland,POL,38248076,16385.9971738588,293630
2001,YR2001,Portugal,PRT,10362722,30756.0189546063,61380
2001,YR2001,Romania,ROU,22131970,12992.0052923653,95230
2001,YR2001,San Marino,SMR,27335,78614.202693694,..
2001,YR2001,Slovak Republic,SVK,5378867,16162.4808121368,38580
2001,YR2001,Slovenia,SVN,1992060,27079.4748981347,15380
2001,YR2001,Spain,ESP,40850412,35854.5847170553,294790
2001,YR2001,Sweden,SWE,8895960,41103.7264589774,52500
2001,YR2001,Switzerland,CHE,7229854,60541.1168104481,45150
2001,YR2001,United Kingdom,GBR,59119673,39770.6060210997,545260
2002,YR2002,Andorra,AND,70849,..,529.999971389771
2002,YR2002,Austria,AUT,8081957,47419.2784117541,69370.002746582
2002,YR2002,Belgium,BEL,10332785,43890.5981100134,110849.998474121
2002,YR2002,Croatia,HRV,4302174,20793.7649202038,20280.0006866455
2002,YR2002,Czechia,CZE,10196916,26289.6261389536,118529.998779297
2002,YR2002,Denmark,DNK,5375931,49204.8990055345,53840.0001525879
2002,YR2002,Estonia,EST,1379350,20364.0087374035,14949.9998092651
2002,YR2002,Finland,FIN,5200598,41439.019233448,63439.998626709
2002,YR2002,France,FRA,61816234,40381.4595325319,371019.989013672
2002,YR2002,Germany,DEU,82488495,43417.3079988044,833380.004882813
2002,YR2002,Greece,GRC,10902022,31249.3973548441,96599.9984741211
2002,YR2002,Greenland,GRL,56609,..,..
2002,YR2002,Hungary,HUN,10158608,21270.0124793944,55599.9984741211
2002,YR2002,Iceland,ISL,287523,42484.5161077418,2240.00000953674
2002,YR2002,Ireland,IRL,3931947,52342.8603565805,43930.0003051758
2002,YR2002,Italy,ITA,57059007,43915.385340484,443470.001220703
2002,YR2002,Latvia,LVA,2310173,15157.6207991021,7349.99990463257
2002,YR2002,Liechtenstein,LIE,33693,..,219.999998807907
2002,YR2002,Lithuania,LTU,3443067,16004.4388997159,11220.0002670288
2002,YR2002,Luxembourg,LUX,446175,103317.331098088,9819.99969482422
2002,YR2002,Monaco,MCO,32386,..,..
2002,YR2002,Netherlands,NLD,16148929,47958.3319661157,167429.992675781
2002,YR2002,Norway,NOR,4538159,58540.8454427638,34369.9989318848
2002,YR2002,Poland,POL,38230364,16727.3397661722,287320.007324219
2002,YR2002,Portugal,PRT,10419631,30823.8490440796,65599.9984741211
2002,YR2002,Romania,ROU,21730496,13986.6562544411,93739.9978637695
2002,YR2002,San Marino,SMR,27969,77070.9742314626,..
2002,YR2002,Slovak Republic,SVK,5376912,16897.4603971863,38069.9996948242
2002,YR2002,Slovenia,SVN,1994530,27994.0619768923,15520.0004577637
2002,YR2002,Spain,ESP,41431558,36317.1006783319,312750
2002,YR2002,Sweden,SWE,8924958,41870.2591560099,54020.0004577637
2002,YR2002,Switzerland,CHE,7284753,60040.8774112494,43569.9996948242
2002,YR2002,United Kingdom,GBR,59370479,40303.8672354951,530789.978027344
2003,YR2003,Andorra,AND,73907,..,529.999971389771
2003,YR2003,Austria,AUT,8121423,47633.1140009916,74459.9990844727
2003,YR2003,Belgium,BEL,10376133,44160.9114292454,115500
2003,YR2003,Croatia,HRV,4303399,21944.4266405828,21610.0006103516
2003,YR2003,Czechia,CZE,10193998,27239.5594440384,122769.996643066
2003,YR2003,Denmark,DNK,5390574,49262.6449732556,59229.9995422363
2003,YR2003,Estonia,EST,1370720,22049.6827903416,16940.0005340576
2003,YR2003,Finland,FIN,5213014,42168.6934671901,71709.9990844727
2003,YR2003,France,FRA,62256970,40425.6380520509,376709.991455078
